# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20160101,   41
  260,20160102,   54
  260,20160103,   69
  260,20160104,   57
  260,20160105,   68
  260,20160106,   26
  260,20160107,   61
  260,20160108,   54
  260,20160109,   56
  260,20160110,   69
  260,20160111,   48
  260,20160112,   58
  260,20160113,   50
  260,20160114,   35
  260,20160115,   24
  260,20160116,   27
  260,20160117,  -10
  260,20160118,  -33
  260,20160119,  -25
  260,20160120,   12
  260,20160121,  -12
  260,20160122,    9
  260,20160123,   66
  260,20160124,   77
  260,20160125,  107
  260,20160126,   92
  260,20160127,  109
  260,20160128,   67
  260,20160129,   85
  260,20160130,   74
  260,20160131,   68
  260,20160201,  115
  260,20160202,   89
  260,20160203,   50
  260,20160204,   51
  260,20160205,   87
  260,20160206,   94
  260,20160207,   85
  260,20160208,   85
  260,20160209,   53
  260,20160210,   48
  260,20160211,   38
  260,20160212,   27
  260,20160213,   18
  260,20160214,   14
  260,20160215,   23
  260,20160216,   -3
  260,20160217,  -13
  260,20160218,   13
  260,20160219,   39
  260,20160220,   82
  260,20160221,  104
  260,20160222,   68
  260,20160223,   43
  260,20160224,   23
  260,20160225,   18
  260,20160226,   21
  260,20160227,   22
  260,20160228,   22
  260,20160229,   13
  260,20160301,   20
  260,20160302,   53
  260,20160303,   39
  260,20160304,   10
  260,20160305,    5
  260,20160306,   30
  260,20160307,   25
  260,20160308,   36
  260,20160309,   44
  260,20160310,   41
  260,20160311,   32
  260,20160312,   31
  260,20160313,   39
  260,20160314,   41
  260,20160315,   46
