# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# DR       = Duur van de neerslag (in 0.1 uur); 
# 
# STN,YYYYMMDD,   DR
# 
  260,20160101,    0
  260,20160102,   70
  260,20160103,  112
  260,20160104,  115
  260,20160105,    7
  260,20160106,    4
  260,20160107,   58
  260,20160108,    0
  260,20160109,    5
  260,20160110,   22
  260,20160111,   20
  260,20160112,   72
  260,20160113,   33
  260,20160114,  101
  260,20160115,    0
  260,20160116,   12
  260,20160117,    0
  260,20160118,    0
  260,20160119,    0
  260,20160120,    0
  260,20160121,    0
  260,20160122,   50
  260,20160123,    0
  260,20160124,   47
  260,20160125,    0
  260,20160126,   31
  260,20160127,  105
  260,20160128,    9
  260,20160129,   43
  260,20160130,  120
  260,20160131,   78
  260,20160201,   21
  260,20160202,    4
  260,20160203,   27
  260,20160204,   51
  260,20160205,   25
  260,20160206,    5
  260,20160207,   44
  260,20160208,  102
  260,20160209,   63
  260,20160210,   56
  260,20160211,    1
  260,20160212,    0
  260,20160213,   24
  260,20160214,  235
  260,20160215,    1
  260,20160216,    0
  260,20160217,    0
  260,20160218,   51
  260,20160219,   20
  260,20160220,  123
  260,20160221,   79
  260,20160222,   58
  260,20160223,   14
  260,20160224,    6
  260,20160225,    9
  260,20160226,    0
  260,20160227,    0
  260,20160228,    0
  260,20160229,    0
  260,20160301,   75
  260,20160302,   55
  260,20160303,    7
  260,20160304,   95
  260,20160305,    3
  260,20160306,   19
  260,20160307,   15
  260,20160308,    0
  260,20160309,    0
  260,20160310,    0
  260,20160311,    0
  260,20160312,    0
  260,20160313,    0
  260,20160314,    0
  260,20160315,    0
  260,20160316,    0
  260,20160317,    0
  260,20160318,    0
  260,20160319,    0
  260,20160320,   19
  260,20160321,   11
  260,20160322,    1
  260,20160323,   12
  260,20160324,    4
  260,20160325,   87
  260,20160326,    0
  260,20160327,   51
  260,20160328,   12
  260,20160329,   58
  260,20160330,    5
  260,20160331,    0
  260,20160401,    0
  260,20160402,    0
  260,20160403,   33
  260,20160404,   28
  260,20160405,   41
  260,20160406,   26
  260,20160407,   24
  260,20160408,   25
  260,20160409,    0
  260,20160410,   25
  260,20160411,    0
  260,20160412,   21
  260,20160413,    0
  260,20160414,    0
  260,20160415,  108
  260,20160416,   20
  260,20160417,   25
  260,20160418,    0
  260,20160419,    0
  260,20160420,    0
  260,20160421,    0
  260,20160422,    0
  260,20160423,   30
  260,20160424,   11
  260,20160425,   33
  260,20160426,   49
  260,20160427,   27
  260,20160428,    9
  260,20160429,   47
  260,20160430,    0
  260,20160501,    0
  260,20160502,    1
  260,20160503,   18
  260,20160504,    0
  260,20160505,    0
  260,20160506,    0
  260,20160507,    0
  260,20160508,    0
  260,20160509,    0
  260,20160510,    0
  260,20160511,    0
  260,20160512,    0
  260,20160513,    0
  260,20160514,    0
  260,20160515,    1
  260,20160516,    5
  260,20160517,    0
  260,20160518,    3
  260,20160519,    4
  260,20160520,   10
  260,20160521,    0
  260,20160522,  102
  260,20160523,  158
  260,20160524,    0
  260,20160525,    4
  260,20160526,    0
  260,20160527,    0
  260,20160528,    0
  260,20160529,    6
  260,20160530,   32
  260,20160531,    0
  260,20160601,    4
  260,20160602,    0
  260,20160603,    0
  260,20160604,    1
  260,20160605,    0
  260,20160606,    0
  260,20160607,    0
  260,20160608,    0
  260,20160609,    0
  260,20160610,    0
  260,20160611,   44
  260,20160612,   26
  260,20160613,   15
  260,20160614,   49
  260,20160615,   19
  260,20160616,   38
  260,20160617,   52
  260,20160618,   11
  260,20160619,    0
  260,20160620,   90
  260,20160621,   19
  260,20160622,    0
  260,20160623,   55
  260,20160624,    3
  260,20160625,   25
  260,20160626,   24
  260,20160627,   20
  260,20160628,   13
  260,20160629,   30
  260,20160630,   32
  260,20160701,   17
  260,20160702,    9
  260,20160703,   39
  260,20160704,    0
  260,20160705,   12
  260,20160706,   15
  260,20160707,    0
  260,20160708,   25
  260,20160709,    0
  260,20160710,    0
  260,20160711,    0
  260,20160712,   38
  260,20160713,   18
  260,20160714,    0
  260,20160715,    0
  260,20160716,    0
  260,20160717,    0
  260,20160718,    0
  260,20160719,    0
  260,20160720,    0
  260,20160721,    0
  260,20160722,   36
  260,20160723,    0
  260,20160724,    0
  260,20160725,    3
  260,20160726,    0
  260,20160727,   63
  260,20160728,    6
  260,20160729,    9
  260,20160730,   29
  260,20160731,    6
  260,20160801,   11
  260,20160802,  121
  260,20160803,   62
  260,20160804,    0
  260,20160805,    0
  260,20160806,   20
  260,20160807,    0
  260,20160808,    6
  260,20160809,   29
  260,20160810,   15
  260,20160811,  123
  260,20160812,   23
  260,20160813,    0
  260,20160814,    0
  260,20160815,    0
  260,20160816,    0
  260,20160817,    0
  260,20160818,    0
  260,20160819,   17
  260,20160820,    6
  260,20160821,   56
  260,20160822,   57
  260,20160823,    0
  260,20160824,    0
  260,20160825,    0
  260,20160826,    0
  260,20160827,    4
  260,20160828,    3
  260,20160829,    3
  260,20160830,    0
  260,20160831,    0
  260,20160901,    0
  260,20160902,   14
  260,20160903,    9
  260,20160904,    9
  260,20160905,    0
  260,20160906,    0
  260,20160907,    0
  260,20160908,    0
  260,20160909,    0
  260,20160910,    0
  260,20160911,   19
  260,20160912,    0
  260,20160913,    0
  260,20160914,    0
  260,20160915,   10
  260,20160916,    6
  260,20160917,    0
  260,20160918,    0
  260,20160919,    0
  260,20160920,    0
  260,20160921,    0
  260,20160922,    0
  260,20160923,    0
  260,20160924,    0
  260,20160925,   13
  260,20160926,    0
  260,20160927,    0
  260,20160928,    0
  260,20160929,   17
  260,20160930,    0
  260,20161001,    5
  260,20161002,   32
  260,20161003,    0
  260,20161004,    0
  260,20161005,    0
  260,20161006,    0
  260,20161007,    0
  260,20161008,    0
  260,20161009,    5
  260,20161010,    0
  260,20161011,    0
  260,20161012,    0
  260,20161013,    0
  260,20161014,   34
  260,20161015,   59
  260,20161016,    0
  260,20161017,    4
  260,20161018,   37
  260,20161019,   43
  260,20161020,   28
  260,20161021,    4
  260,20161022,    0
  260,20161023,    0
  260,20161024,    0
  260,20161025,    0
  260,20161026,    0
  260,20161027,    0
  260,20161028,    0
  260,20161029,    0
  260,20161030,    0
  260,20161031,    0
  260,20161101,    6
  260,20161102,   22
  260,20161103,    6
  260,20161104,   33
  260,20161105,   35
  260,20161106,   37
  260,20161107,   19
  260,20161108,   14
  260,20161109,   88
  260,20161110,   97
  260,20161111,    9
  260,20161112,   17
  260,20161113,   48
  260,20161114,   68
  260,20161115,  118
  260,20161116,   67
  260,20161117,   79
  260,20161118,   13
  260,20161119,    0
  260,20161120,   41
  260,20161121,   54
  260,20161122,    0
  260,20161123,    0
  260,20161124,    0
  260,20161125,    0
  260,20161126,    0
  260,20161127,    0
  260,20161128,    0
  260,20161129,    0
  260,20161130,    0
  260,20161201,    0
  260,20161202,   21
  260,20161203,    0
  260,20161204,    0
  260,20161205,    0
  260,20161206,    0
  260,20161207,    0
  260,20161208,    5
  260,20161209,    0
  260,20161210,   72
  260,20161211,   28
  260,20161212,    0
  260,20161213,    3
  260,20161214,    0
  260,20161215,    0
  260,20161216,    0
  260,20161217,    0
  260,20161218,    0
  260,20161219,    0
  260,20161220,    0
  260,20161221,   40
  260,20161222,   35
  260,20161223,   20
  260,20161224,   17
  260,20161225,    9
  260,20161226,    7
  260,20161227,   18
  260,20161228,    0
  260,20161229,    0
  260,20161230,    0
  260,20161231,    5
